StudentID,student_name,gender,grade,school_name,reading_score,math_score
0,PaulBradley,M,9th,HuangHighSchool,66,79
1,VictorSmith,M,12th,HuangHighSchool,94,61
2,KevinRodriguez,M,12th,HuangHighSchool,90,60
3,RichardScott,M,12th,HuangHighSchool,67,58
4,BonnieRay,F,9th,HuangHighSchool,97,84
5,BryanMiranda,M,9th,HuangHighSchool,94,94
6,SheenaCarter,F,11th,HuangHighSchool,82,80
7,NicoleBaker,F,12th,HuangHighSchool,96,69
8,MichaelRoth,M,10th,HuangHighSchool,95,87
9,MatthewGreene,M,10th,HuangHighSchool,96,84
10,AndrewAlexander,M,10th,HuangHighSchool,90,70
11,DanielCooper,M,10th,HuangHighSchool,78,77
12,BrittneyWalker,F,9th,HuangHighSchool,64,79
13,WilliamLong,M,9th,HuangHighSchool,71,79
14,TammyHebert,F,10th,HuangHighSchool,85,67
15,JordanCarson,M,11th,HuangHighSchool,94,88
16,DonaldZamora,M,9th,HuangHighSchool,88,55
17,KimberlySantiago,F,9th,HuangHighSchool,74,75
18,KevinStevens,M,9th,HuangHighSchool,64,69
19,BrandiLyons,F,9th,HuangHighSchool,89,80
20,LisaDavis,F,10th,HuangHighSchool,91,89
21,KristenLopez,F,10th,HuangHighSchool,90,77
22,KimberlyStewart,F,11th,HuangHighSchool,99,84
23,ChristopherParker,M,9th,HuangHighSchool,81,68
24,ChelseaGriffith,F,11th,HuangHighSchool,85,73
25,CesarMorris,M,9th,HuangHighSchool,92,70
26,MelanieDecker,F,9th,HuangHighSchool,63,85
27,TraceyOconnor,F,10th,HuangHighSchool,80,58
28,KellyJames,F,11th,HuangHighSchool,73,55
29,NicoleBrown,F,12th,HuangHighSchool,90,88
30,BobbyHarris,M,9th,HuangHighSchool,94,99
31,BrianFernandez,M,10th,HuangHighSchool,97,65
32,CandacePhelps,F,11th,HuangHighSchool,93,90
33,AmyGonzalez,F,12th,HuangHighSchool,95,68
34,StevenGreen,M,11th,HuangHighSchool,65,74
35,BenjaminCarlson,M,10th,HuangHighSchool,99,61
36,KevinBailey,M,10th,HuangHighSchool,76,76
37,JesseNewton,M,10th,HuangHighSchool,63,66
38,KimberlyMercado,F,12th,HuangHighSchool,73,77
39,GregoryRoberts,M,9th,HuangHighSchool,80,61
40,MatthewMayer,M,9th,HuangHighSchool,79,69
41,JenniferParks,F,11th,HuangHighSchool,85,95
42,JohnCarlson,M,9th,HuangHighSchool,65,89
43,MeganRoberts,F,9th,HuangHighSchool,66,90
44,DebraFlores,F,10th,HuangHighSchool,75,66
45,HeidiJackson,F,11th,HuangHighSchool,64,93
46,DeniseBradford,F,12th,HuangHighSchool,73,59
47,EllenBrown,F,11th,HuangHighSchool,77,81
48,AmyPerkins,F,9th,HuangHighSchool,76,66
49,NatalieMitchell,F,10th,HuangHighSchool,73,93
50,TiffanyGutierrez,F,10th,HuangHighSchool,82,95
51,JenniferHess,F,11th,HuangHighSchool,91,56
52,ChristineFletcher,F,12th,HuangHighSchool,69,78
53,JonSmith,M,9th,HuangHighSchool,96,69
54,TraceyYates,F,9th,HuangHighSchool,83,68
55,JerryGordon,M,12th,HuangHighSchool,95,71
56,MichaelCox,M,11th,HuangHighSchool,72,72
57,MadelineSnyderMD,F,9th,HuangHighSchool,97,56
58,AllisonKing,F,11th,HuangHighSchool,74,84
59,TheresaMeyer,F,9th,HuangHighSchool,88,70
60,JaredWood,M,9th,HuangHighSchool,63,89
61,EricMaynard,M,9th,HuangHighSchool,64,95
62,MarkOwens,M,11th,HuangHighSchool,74,65
63,RonnieConley,M,11th,HuangHighSchool,77,61
64,KimberlyDavis,F,12th,HuangHighSchool,87,57
65,AmyMitchell,F,11th,HuangHighSchool,74,60
66,MrDylanTaylorMD,M,10th,HuangHighSchool,77,93
67,ElizabethHenderson,F,12th,HuangHighSchool,70,60
68,JamesLopez,M,12th,HuangHighSchool,65,82
69,MichaelMorgan,M,11th,HuangHighSchool,75,89
70,AngelaFrancis,F,12th,HuangHighSchool,70,60
71,BreannaTaylor,F,10th,HuangHighSchool,93,68
72,JasonJohnson,M,12th,HuangHighSchool,82,65
73,KyleMartin,M,10th,HuangHighSchool,72,94
74,ScottGill,M,10th,HuangHighSchool,85,85
75,LisaLong,F,10th,HuangHighSchool,87,62
76,ErinLiu,F,9th,HuangHighSchool,78,76
77,MarcusRichards,M,12th,HuangHighSchool,83,76
78,JasonThompson,M,12th,HuangHighSchool,99,57
79,ElizabethMckinney,F,9th,HuangHighSchool,74,81
80,JessicaBailey,F,10th,HuangHighSchool,67,70
81,LisaFrye,F,12th,HuangHighSchool,94,73
82,LindseyBaker,F,11th,HuangHighSchool,81,57
83,LisaRamirez,F,12th,HuangHighSchool,64,76
84,JosephButler,M,10th,HuangHighSchool,77,63
85,TinaLynch,F,10th,HuangHighSchool,94,60
